total_words,filler_count,filler_ratio,vocab_diversity,avg_word_len,label,text,clean_text
18,0,0.0,0.8125,2.625,1,(8시 10분)/(여덟 시 십 분)이에요. (8시 10분)/(여덟 시 십 분) 차를 타야하는데 지금 연수 아빠의 표정이 어때 보이나요?,(8시 시 십 분)이에요. (8시 시 십 분) 차를 타야하는데 지금 연수 아빠의 표정이 어때 보이나요?
11,1,0.09090909090909091,1.0,3.0,0,n/ 자/ 그러면요 우리 다음은 살펴 볼게요. 다음 어떤 내용으로 갈까요?,그러면요 우리 다음은 살펴 볼게요. 다음 어떤 내용으로 갈까요?
9,0,0.0,1.0,3.4444444444444446,1,할머니 할아버지께서 방석에 앉으시자 엄마 아빠께서 먼저 세배를 하셨어요,할머니 할아버지께서 방석에 앉으시자 엄마 아빠께서 먼저 세배를 하셨어요
6,0,0.0,1.0,3.3333333333333335,1,시계하고 각도는 아주 밀접한 관련이 있어서요.,시계하고 각도는 아주 밀접한 관련이 있어서요.
22,0,0.0,0.9545454545454546,3.1818181818181817,1,이렇게 생각하게 되잖아요. 다시 말해서 어제의 실수나 잘못이 오늘의 나에게 가르침을 준 거지요. 그런 의미로 어제는 오늘의 스승 선생님이다 라고 이야기를 한답니다.,이렇게 생각하게 되잖아요. 다시 말해서 어제의 실수나 잘못이 오늘의 나에게 가르침을 준 거지요. 그런 의미로 어제는 오늘의 스승 선생님이다 라고 이야기를 한답니다.
5,0,0.0,1.0,3.5,1,뿅/ (13번)/(십 삼 번) 문제입니다.,삼 문제입니다.
27,0,0.0,0.9230769230769231,2.8461538461538463,1,자/ 이야기에 관련된 문제라 딱 떠오르는 게 있죠? 보통 항상 물어보는 것은 인물의 성격에 관련된 문제라든지 아니면 인물의 생각을 물어보거나 또 인물이 한 일에 대해서 묻고 있습니다.,이야기에 관련된 문제라 딱 떠오르는 게 있죠? 보통 항상 물어보는 것은 인물의 성격에 관련된 문제라든지 아니면 인물의 생각을 물어보거나 또 인물이 한 일에 대해서 묻고 있습니다.
11,1,0.09090909090909091,1.0,3.1,0,n/ 장면 좀 간단히 쓸게요. 원래는 선생님께 질문하는 장면이라고 써야 하는데,장면 좀 간단히 쓸게요. 원래는 선생님께 질문하는 장면이라고 써야 하는데
4,0,0.0,1.0,2.5,1,"(2)/(이)와 (7분의3)/(칠 분의 삼),","분의 삼),"
23,0,0.0,0.9545454545454546,2.6363636363636362,1,주사위는 (2개)/(두 개)인 활동을 같이 살펴 볼게요. 우리가 앞에서 살펴보았던 것을 우리 친구들이 조금 더 알기 쉽게 보기 쉽게 이렇게 표현 해 봤어요.,주사위는 개)인 활동을 같이 살펴 볼게요. 우리가 앞에서 살펴보았던 것을 우리 친구들이 조금 더 알기 쉽게 보기 쉽게 이렇게 표현 해 봤어요.
3,1,0.3333333333333333,1.0,2.0,0,하나 그 다음,하나 다음
3,1,0.3333333333333333,1.0,6.5,0,n/ 세종대왕님이 만드셨다구우.,세종대왕님이 만드셨다구우.
20,0,0.0,1.0,3.5294117647058822,1,"자/ 그러면 선생님은요, (2교시)/(이 교시) 수학 시간에 기다리고 있을게요. 우리 친구들 깨끗한 댓글 만들기 다시 한번 부탁+생각하면서 (2교시)/(이 교시)에 만날게요.","그러면 선생님은요, 교시) 수학 시간에 기다리고 있을게요. 우리 친구들 깨끗한 댓글 만들기 다시 한번 부탁+생각하면서 교시)에 만날게요."
8,1,0.125,0.8571428571428571,3.4285714285714284,0,그럼 정답 이제 정리해보도록 하겠습니다. 정답 볼까요? n/,그럼 정답 이제 정리해보도록 하겠습니다. 정답 볼까요?
19,0,0.0,1.0,3.7857142857142856,1,자/ 역성들고 있습니다 자/ 편들어주고 있어요 그래서 요것은 두둔하다가 되겠습니다 자/ (그러면)/(그면) 하나하나 인제 잘 생각하시구요 (어떻게)/(어뜨케) 이으면 좋을까요?,역성들고 있습니다 편들어주고 있어요 그래서 요것은 두둔하다가 되겠습니다 하나하나 인제 잘 생각하시구요 이으면 좋을까요?
